"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Pakistan Stock Exchange – Important Indicators","31-Dec-2015","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3395.26","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Nov-2015","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","22689","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2015","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","32255","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2015","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6868","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2015","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3670.15","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Oct-2015","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","23945","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2015","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","34262","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2015","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7284","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2015","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3784.6","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Sep-2015","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","22709","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2015","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","32287","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2015","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6953","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2015","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3746.73","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Aug-2015","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","24346","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2015","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","34727","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2015","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7536","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2015","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","6247.91","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jul-2015","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","24867","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2015","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","35742","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2015","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7702","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2015","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","9091.73","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Jun-2015","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","24037","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2015","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","34399","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2015","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7421","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2015","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","8900.05","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-May-2015","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","23255","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2015","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","33057","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2015","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7180","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2015","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3550.78","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Apr-2015","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","23589","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2015","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","33730","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2015","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7306","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2015","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","6370.97","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Mar-2015","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","21703","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2015","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","30234","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2015","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6761","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2015","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3638.57","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","28-Feb-2015","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","24132","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2015","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","33632","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2015","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7616","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2015","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","5460.27","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jan-2015","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","24730","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2015","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","34444","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2015","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7798","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2015","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","6809.66","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Dec-2014","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","23398","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2014","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","32131","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2014","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7381","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2014","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","5621.23","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Nov-2014","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","22706","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2014","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","31198","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2014","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7152","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2014","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4701.9","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Oct-2014","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","22269","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2014","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","30377","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2014","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7034","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2014","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3691.08","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Sep-2014","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","21778","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2014","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","29726","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2014","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6914","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2014","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3470.43","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Aug-2014","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","21014","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2014","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","28568","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2014","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6727","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2014","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","2691.58","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jul-2014","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","22265","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2014","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","30314","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2014","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7121","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2014","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","2297.59","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Jun-2014","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","21973","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2014","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","29653","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2014","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7023","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2014","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4392.36","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-May-2014","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","21961","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2014","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","29738","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2014","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7043","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2014","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3693.95","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Apr-2014","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","21598","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2014","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","28913","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2014","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6920","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2014","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","6746.38","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Mar-2014","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","20397","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2014","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","27160","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2014","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6579","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2014","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4801.15","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","28-Feb-2014","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","19282","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2014","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","25783","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2014","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6279","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2014","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4686.1","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jan-2014","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","20244","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2014","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","26784","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2014","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6607","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2014","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","7163.83","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Dec-2013","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","18664","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2013","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","25261","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2013","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6057","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2013","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4758.79","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Nov-2013","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","18011","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2013","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","24302","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2013","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","5875","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2013","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","2869.33","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Oct-2013","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","16595","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2013","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","22776","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2013","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","5423","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2013","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","2341.31","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Sep-2013","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","15837","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2013","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","21833","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2013","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","5185","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2013","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4721.86","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Aug-2013","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","16023","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2013","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","22161","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2013","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","5514","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2013","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3804.03","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jul-2013","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","16615","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2013","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","23313","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2013","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","5712","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2013","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","6601.48","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Jun-2013","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","14988","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2013","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","21006","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2013","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","5155","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2013","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","7697.54","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-May-2013","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","15355","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2013","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","21823","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2013","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","5293","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2013","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","7827.77","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Apr-2013","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","13497","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2013","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","18982","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2013","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","4664","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2013","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4142.79","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Mar-2013","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","12802","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2013","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","18043","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2013","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","4447","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2013","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4643.78","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","28-Feb-2013","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","12769","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2013","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","18174","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2013","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","4515","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2013","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","5683.67","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jan-2013","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","12207","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2013","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","17243","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2013","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","4326","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2013","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3858.08","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Dec-2012","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","11964","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2012","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","16905","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2012","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","4242","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2012","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3600.49","Million Number of shares","Normal","","40","Turnover of shares"
