"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Pakistan Stock Exchange – Important Indicators","31-May-2023","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","27703","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2023","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","41331","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2023","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6277","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2023","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4033","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Apr-2023","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","27428","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2023","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","41581","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2023","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6290","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2023","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","2331","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Mar-2023","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","26429","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2023","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","40001","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2023","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6108","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2023","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4160","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","28-Feb-2023","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","26679.75","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2023","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","40510.37","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2023","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6272.51","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2023","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3806.13","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jan-2023","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","27100.87","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2023","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","40673.06","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2023","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6394","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2023","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4275.86","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Dec-2022","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","27532.64","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2022","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","40420.45","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2022","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6500.83","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2022","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4592.75","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Nov-2022","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","28693.26","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2022","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","42348.63","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2022","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6768.15","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2022","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4704.5","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Oct-2022","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","28144.6","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2022","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","41264.7","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2022","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6663.4","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2022","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","6001.9","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Sep-2022","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","28225.5","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2022","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","41128.7","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2022","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6782","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2022","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4149.9","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Aug-2022","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","29077.9","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2022","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","42351.2","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2022","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7035","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2022","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","7115","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jul-2022","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","27796.13","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2022","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","40150.36","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2022","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6772","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2022","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","2733.59","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Jun-2022","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","28582.29","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2022","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","41540.83","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2022","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6956.51","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2022","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","5266.8","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-May-2022","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","29310.51","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2022","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","43078.14","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2022","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7136","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2022","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4760.77","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Apr-2022","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","30774.66","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2022","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","45249.41","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2022","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7520","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2022","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","6251.41","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Mar-2022","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","30788.28","Index","Normal","","10","KSE All Index of the last working day of the month."
